Key,name,value
Industry Code:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.","Farm-Product Raw Materials, NEC"
Component:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",Antitrust Division
Case Documents:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",A&L Mayer (Tampico Fiber) Final Judgment
Case Documents:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",U.S. v. A&L Mayer - Competitive Impact Statement
Case Documents:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",U.S. v. A & L Mayer Associates - Complaint
Case Open Date:,"U.S. v. A-1 Auto Glass, Inc.","Wednesday, September 30, 1998"
Case Name:,"U.S. v. A-1 Auto Glass, Inc.","United States v. A-1 Auto Glass, Inc."
Case Type:,"U.S. v. A-1 Auto Glass, Inc.",Criminal
Case Violation:,"U.S. v. A-1 Auto Glass, Inc.",Price Fixing - Horizontal
Market:,"U.S. v. A-1 Auto Glass, Inc.",AUTOMOTIVE GLASS REPLACEMENT SHOPS
Industry Code:,"U.S. v. A-1 Auto Glass, Inc.",Automotive Glass Replacement Shops
Component:,"U.S. v. A-1 Auto Glass, Inc.",Antitrust Division
Case Documents:,"U.S. v. A-1 Auto Glass, Inc.",Information
Case Open Date:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company","Tuesday, January 16, 1973"
Case Name:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company","United States v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company"
Case Type:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Civil Non-Merger
Case Violation:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Other Restraint of Trade
Case Violation:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company","Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Price Fixing - Horizontal
Market:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Vending Machines
Industry Code:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Used Merchandise Stores
Component:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Antitrust Division
Case Documents:,"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",Complaint
Case Open Date:,U.S. v. ABB Middle East & Africa Participations AG,"Wednesday, April 11, 2001"
Case Name:,U.S. v. ABB Middle East & Africa Participations AG,United States v. ABB Middle East & Africa Participations AG
Case Type:,U.S. v. ABB Middle East & Africa Participations AG,Criminal
Case Violation:,U.S. v. ABB Middle East & Africa Participations AG,Bid Rigging
Market:,U.S. v. ABB Middle East & Africa Participations AG,WASTEWATER TREATMENT FACILITIES CONSTRUCTION CONTRACT
Industry Code:,U.S. v. ABB Middle East & Africa Participations AG,"Water, Sewer, and Utility Lines"
Component:,U.S. v. ABB Middle East & Africa Participations AG,Antitrust Division
Case Documents:,U.S. v. ABB Middle East & Africa Participations AG,Joint Rule 11 Memorandum
Case Documents:,U.S. v. ABB Middle East & Africa Participations AG,Plea Agreements
Case Documents:,U.S. v. ABB Middle East & Africa Participations AG,Information
Case Open Date:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,"Tuesday, October 23, 2007"
Case Name:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,United States v. Abitibi-Consolidated Inc. and Bowater Incorporated
Case Type:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Civil Merger
Case Violation:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Horizontal Merger
Market:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Newsprint
Industry Code:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Newsprint Mills
Industry Code:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Paper (except Newsprint) Mills
Industry Code:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Pulp Mills
Component:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Antitrust Division
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Final Judgment
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Memorandum Opinion
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Declaration of Nicholas Hill
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Reply By the United States to NAA's Opposition to Motion for Entry of the Proposed Final Judgment
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,[Proposed] Final Judgment
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Parties' Joint Proposed Briefing Schedule for the United States' Motion for Entry of the Proposed Final Judgment
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Motion for Entry of Proposed Final Judgment and Memorandum in Support
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Response of Plaintiff United States to the NAA's Motion for Leave to Appear as Amicus Curiae
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Response of Plaintiff United States to Public Comments on the Proposed Final Judgment
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Notice Of Filing
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Certificate of Service
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Plaintiff United States' Explanation of Consent Decree Procedures
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Competitive Impact Statement
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Asset Preservation Stipulation and [Proposed] Order
Case Documents:,U.S. v. Abitibi-Consolidated Inc. and Bowater Inc.,Complaint
Case Open Date:,U.S. v. Thomas J. Abraham,"Wednesday, July 16, 1997"
Case Name:,U.S. v. Thomas J. Abraham,United States v. Thomas J. Abraham
Case Type:,U.S. v. Thomas J. Abraham,Criminal
Case Violation:,U.S. v. Thomas J. Abraham,Bid Rigging
Case Violation:,U.S. v. Thomas J. Abraham,"Customer, Territorial or Market Allocation - Horizontal"
Industry Code:,U.S. v. Thomas J. Abraham,"Water, Sewer, and Utility Lines"
Component:,U.S. v. Thomas J. Abraham,Antitrust Division
Case Documents:,U.S. v. Thomas J. Abraham,Information
Case Open Date:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""","Wednesday, September 23, 1998"
Case Name:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""","United States v. Danny Abrishamian, aka ""Kamran Abrishamian"""
Case Type:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""",Criminal
Case Violation:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""",Bid Rigging
Market:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""",REAL ESTATE FORECLOSURE AUCTIONS
Industry Code:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""",Real Estate Agents & Managers
Component:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""",Antitrust Division
Case Documents:,"U.S. v. Danny Abrishamian, a/k/a ""Kamran Abrishamian""",Information
Case Open Date:,"U.S. v. Ace Schiffli Emboidery Co., Inc.","Thursday, September 5, 1996"
Case Name:,"U.S. v. Ace Schiffli Emboidery Co., Inc.","United States v. Ace Schiffli Embroidery Co., Inc."
Case Type:,"U.S. v. Ace Schiffli Emboidery Co., Inc.",Criminal
Case Violation:,"U.S. v. Ace Schiffli Emboidery Co., Inc.",Bid Rigging
Industry Code:,"U.S. v. Ace Schiffli Emboidery Co., Inc.",Men's and Boys' Suits and Coats
Component:,"U.S. v. Ace Schiffli Emboidery Co., Inc.",Antitrust Division
Case Documents:,"U.S. v. Ace Schiffli Emboidery Co., Inc.",Information
Case Open Date:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.","Thursday, April 13, 1978"
Case Name:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.","United States v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc."
Case Type:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Civil Non-Merger
Case Violation:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Price Fixing - Horizontal
Industry Code:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Meatpacking Plants
Industry Code:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Animal (except Poultry) Slaughtering
Industry Code:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Business Associations
Case Documents:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Stipulation and Final Judgment
Case Documents:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Competitive Impact Statement
Case Documents:,"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",Complaint
Case Open Date:,U.S. v. Acorn Engineering Company,"Tuesday, August 19, 1980"
Case Name:,U.S. v. Acorn Engineering Company,United States v. Acorn Engineering Company
Case Type:,U.S. v. Acorn Engineering Company,Civil Merger
Case Violation:,U.S. v. Acorn Engineering Company,Horizontal Merger
Market:,U.S. v. Acorn Engineering Company,Vandal-Resistant Plumbing Fixtures
Industry Code:,U.S. v. Acorn Engineering Company,"Concrete Products, Metal Sanitary Ware"
Component:,U.S. v. Acorn Engineering Company,Antitrust Division
Case Documents:,U.S. v. Acorn Engineering Company,Final Judgment
Case Documents:,U.S. v. Acorn Engineering Company,Complaint
Case Open Date:,U.S. v. Action Embroidery Corp.,"Wednesday, September 27, 1995"
Case Name:,U.S. v. Action Embroidery Corp.,United States v. Action Embroidery Corporation
Case Type:,U.S. v. Action Embroidery Corp.,Criminal
Case Violation:,U.S. v. Action Embroidery Corp.,Bid Rigging
Industry Code:,U.S. v. Action Embroidery Corp.,Men's and Boys' Suits and Coats
Component:,U.S. v. Action Embroidery Corp.,Antitrust Division
Case Documents:,U.S. v. Action Embroidery Corp.,Information
Case Open Date:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems","Wednesday, August 9, 2000"
Case Name:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems","United States v. ADA Fabricators, Inc., dba AMS Tactile Systems"
Case Type:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems",Criminal
Case Violation:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems",Bid Rigging
Market:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems",TACTILE TILE
Industry Code:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems",Ceramic Wall and Floor Tile
Component:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems",Antitrust Division
Case Documents:,"U.S. v. ADA Fabricators, Inc., d/b/a AMS Tactile Systems",Information
Case Open Date:,U.S. v. Rafael Gongora Adame,"Wednesday, December 6, 2006"
Case Name:,U.S. v. Rafael Gongora Adame,United States v. Rafael Gongora Adame
Case Type:,U.S. v. Rafael Gongora Adame,Criminal
Case Violation:,U.S. v. Rafael Gongora Adame,Wire Fraud
Market:,U.S. v. Rafael Gongora Adame,Federal E-Rate Program-submission of  fraudulent invoices for payment to the Schools and Libraries Division of USAC
Industry Code:,U.S. v. Rafael Gongora Adame,On-Line Information Services
Component:,U.S. v. Rafael Gongora Adame,Antitrust Division
Case Documents:,U.S. v. Rafael Gongora Adame,Indictment
Case Open Date:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.","Friday, November 15, 1974"
Case Name:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.","United States v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc."
Case Type:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",Civil Non-Merger
Case Violation:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.","Customer, Territorial or Market Allocation - Horizontal"
Market:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",Books
Industry Code:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",Book Publishers
Industry Code:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",Book Publishing
Component:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",Antitrust Division
Case Documents:,"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",Complaint
Case Open Date:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""","Wednesday, September 23, 1998"
Case Name:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""","United States v. Ted Adeli, aka ""Kamal Adeli"""
Case Type:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""",Criminal
Case Violation:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""",Bid Rigging
Market:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""",REAL ESTATE AGENTS AND MANAGERS
Industry Code:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""",Real Estate Agents & Managers
Component:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""",Antitrust Division
Case Documents:,"U.S. v. Ted Adeli, a/k/a ""Kamal Adeli""",Information
Case Open Date:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar","Friday, September 24, 2010"
Case Name:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar","United States v. Adobe Systems, Inc., Apple Inc., Google Inc., Intel Corporation, Intuit, Inc., and Pixar"
Case Type:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Civil Non-Merger
Case Violation:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Agreements Not to Compete
Case Violation:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Other Restraint of Trade
Market:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",No solicitation agreements for employees-Cold Callilng-HIgh technology companies
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Computer Systems Design Services
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Consumer Lending
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Custom Computer Programming Services
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Motion Picture and Video Production
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Sanitary Paper Product Manufacturing
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Semiconductor and Related Device Manufacturing
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Soap and Other Detergent Manufacturing
Industry Code:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Software Publishers
Component:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Antitrust Division
Case Documents:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Final Judgment
Case Documents:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Competitive Impact Statement
Case Documents:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Stipulation
Case Documents:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Stipulation Exhibit A - [Proposed] Final Judgment
Case Documents:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Plaintiff United States' Explanation of Consent Decree Procedures
Case Documents:,"U.S. v. Adobe Systems, Inc.; Apple Inc.; Google Inc.; Intel Corp.; Intuit, Inc.; and Pixar",Complaint
Case Open Date:,"Advo, Inc. v. Philadelphia Newspapers, Inc.","Tuesday, November 15, 1994"
Case Name:,"Advo, Inc. v. Philadelphia Newspapers, Inc.","Advo, Inc. v. Philadelphia Newspapers, Inc."
Case Type:,"Advo, Inc. v. Philadelphia Newspapers, Inc.",Other
Industry Code:,"Advo, Inc. v. Philadelphia Newspapers, Inc.",None
